Observation Date,Series Name,Observation Value
30-Apr-22,1 Net Cash Flow on Foreign Investment in Pakistan during a month,124.2818971
30-Apr-22,......I Net Cash Flow on Foreign Direct Investment in Pakistan during a month,170.553515
30-Apr-22,............i Foreign Direct Investment Inflows in PAK from World,194.358326
30-Apr-22,............ii Foreign Direct Investment outflows from PAK,23.804811
30-Apr-22,......II Net Foreign Portfolio Investment Received in PAK from World,-17.13734242
30-Apr-22,......III Net public Foreign Investment Received in PAK from World,-29.1342755
30-Apr-22,2 Argentina,0
30-Apr-22,......I Foreign Direct Investment Net Received in PAK from Argentina,0
30-Apr-22,............i Foreign Direct Investment inflows Received in PAK from Argentina,0
30-Apr-22,............ii Foreign Direct Investment outflows from PAK to Argentina,0
30-Apr-22,......II Foreign Portfolio Investment Net in PAK from Argentina,0
30-Apr-22,3 Australia,-0.518123
30-Apr-22,......I Foreign Direct Investment Net Received in PAK from Australia,-0.517013
30-Apr-22,............i Foreign Direct Investment inflows Received in PAK from Australia,0.163438
30-Apr-22,............ii Foreign Direct Investment outflows from PAK to Australia,0.680451
30-Apr-22,......II Foreign Portfolio Investment Net in PAK from Australia,-0.00111
30-Apr-22,4 Austria,0
30-Apr-22,......I Foreign Direct Investment Net Received in PAK from Austria,0
30-Apr-22,............i Foreign Direct Investment inflows Received in PAK from Austria,0
30-Apr-22,............ii Foreign Direct Investment outflows from PAK to Austria,0
30-Apr-22,......II Foreign Portfolio Investment Net in PAK from Austria,0
30-Apr-22,5 Bahamas,0.169448
30-Apr-22,......I Foreign Direct Investment Net Received in PAK from Bahamas,0.169448
30-Apr-22,............i Foreign Direct Investment inflows Received in PAK from Bahamas,0.169448
30-Apr-22,............ii Foreign Direct Investment outflows from PAK to Bahamas,0
30-Apr-22,......II Foreign Portfolio Investment Net in PAK from Bahamas,0
30-Apr-22,6 Bahrain,1.634866
30-Apr-22,......I Foreign Direct Investment Net Received in PAK from Bahrain,1.634995
30-Apr-22,............i Foreign Direct Investment inflows Received in PAK from Bahrain,1.634995
30-Apr-22,............ii Foreign Direct Investment outflows from PAK to Bahrain,0
30-Apr-22,......II Foreign Portfolio Investment Net in PAK from Bahrain,-0.000129
30-Apr-22,7 Bangladesh,0
30-Apr-22,......I Foreign Direct Investment Net Received in PAK from Bangladesh,0
30-Apr-22,............i Foreign Direct Investment inflows Received in PAK from Bangladesh,0
30-Apr-22,............ii Foreign Direct Investment outflows from PAK to Bangladesh,0
30-Apr-22,......II Foreign Portfolio Investment Net in PAK from Bangladesh,0
30-Apr-22,8 Belgium,0.034327
30-Apr-22,......I Foreign Direct Investment Net Received in PAK from Belgium,0.034327
30-Apr-22,............i Foreign Direct Investment inflows Received in PAK from Belgium,0.034327
30-Apr-22,............ii Foreign Direct Investment outflows from PAK to Belgium,0
